Integral Name,Class,Ra Obj,Dec Obj,Integral Alt Names,Maxi Name,Maxi ID,Swift Name,Swift ID,Fermi Name,Fermi ID,Swift Weak
GeV J2053+5644,1700,313.25,56.733334,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J20552-2846,9999,313.7940000000001,-28.776,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
QSO B2052-474,7200,314.06818,-47.246555,"[VV96] J205616.4-471448, 1RXS J205615.8-471446, 2EG J2058-4657, 3EG J2055-4716, PKS J2056-4714, RX J2056.2-4714",noMaxi,noMaxi,QSO B2052-474,QSOB2052-474,noFermi,noFermi,yes
IGR J20569+4940,9999,314.1776700000001,49.66914000000001,"3A 2056+493 1RXS J205644.3+494011, XMMLS1 J205642.7+4940004",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
GRO J2058+42,1116,314.75,41.716667,-,GRO J2058+42,J2058+417,GRO J2058+42,GROJ2058p42,GRO J2058+42,groj2058,yes
IGR J20594+3625,9999,314.858,36.431999999999995,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
Swift J2059.6+4301A,9999,314.914,43.053999999999995,-- --,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
4U 2058+32,1500,315.0,33.1,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
3EG J2100+6012,7200,315.25,60.2,TXS 2105+598 ?,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J21012+4538,9999,315.311,45.648999999999994,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J21025+6738,9999,315.619,67.68,,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J21024-4608,9999,315.632,-46.113,,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
SAX J2103.5+4545,1316,315.8988,45.751529999999995,XTE J2103+457,SAX J2103.5+4545,J2103+457,SAX J2103.5+4545,SAXJ2103.5p4545,SAX J2103.5+4545,saxj2103,yes
IGR J21064+7232,9999,316.606,72.559,,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J21095+4322,9999,317.35086,43.326584000000004,,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J21099+3533,9999,317.49,35.56,-- -- --,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J21117+3427,9999,317.95,34.46472,-,noMaxi,noMaxi,IGR J21117+3427,IGRJ21117p3427,noFermi,noFermi,yes
IGR J21133+3154,9999,318.328,31.923000000000002,-- --,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
1RXS J211336.1+54222,1600,318.39743,54.375780000000006,SWIFT J2113.545422,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
S5 2116+81,7504,318.50208,82.07975,"1RXS J211400.0+820447, 2MASX J21140128+8204483, SWIFT J211400.5+820447, XSS J21128+8216",noMaxi,noMaxi,S5 2116+81,S52116p81,noFermi,noFermi,yes
LBQS 2111-4335,7200,318.77893,-43.386,"[VV96] J211506.9-432310, QSO B2111-4335",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J21171+3930,9999,319.26052999999996,39.458729999999996,,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J21178+5139,7000,319.44684,51.648228,"1RXS J211746.9+513901, 2MASX J21174741+5138523, NVSS J211747+513855",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J21188+4901,9999,319.699,49.016999999999996,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
1RXS J211928.4+33325,7105,319.87137,33.549168,IGR J21196+3333,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
4U 2120+32,1500,320.5,32.3,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
XTE J2123-058,1426,320.81057999999996,-5.7980279999999995,V* LZ Aqr,noMaxi,noMaxi,XTE J2123-058,XTEJ2123-058,noFermi,noFermi,yes
